source	type	name_source	name	description
Greek	The Twelve Titans	Κοῖος (Koîos)	Coeus	Titan of intellect and the axis of heaven around which the constellations revolved.
Greek	The Twelve Titans	Κρεῖος (Kreîos)	Crius	The least individualized of the Twelve Titans, he is the father of Astraeus, Pallas, and Perses. Implied to be the Titan of constellations.
Greek	The Twelve Titans	Κρόνος (Kronos)	Cronus	Titan of harvests and personification of destructive time. The leader of the Titans, who overthrew his father Uranus only to be overthrown in turn by his son, Zeus. Not to be confused with Chronos.
Greek	The Twelve Titans	Ὑπερίων (Hyperíōn)	Hyperion	Titan of light. With Theia, he is the father of Helios (the sun), Selene (the moon), and Eos (the dawn).
Greek	The Twelve Titans	Ἰαπετός (Iapetós)	Iapetus	Titan of mortality and father of Prometheus, Epimetheus, Menoetius, and Atlas.
Greek	The Twelve Titans	Mνημοσύνη (Mnēmosýnē)	Mnemosyne	Titaness of memory and remembrance, and mother of the Nine Muses.
Greek	The Twelve Titans	Ὠκεανός (Ōceanós)	Oceanus	Titan of the all-encircling river Oceans around the earth, the fount of all the Earth's fresh-water.
Greek	The Twelve Titans	Φοίβη (Phoíbē)	Phoebe	Titaness of the "bright" intellect and prophecy, and consort of Koios.
Greek	The Twelve Titans	Ῥέα (Rhéa)	Rhea	Titaness of fertility, motherhood and the mountain wilds. She is the sister and consort of Cronus, and mother of Zeus, Hades, Poseidon, Hera, Demeter, and Hestia.
Greek	The Twelve Titans	Τηθύς (Tēthýs)	Tethys	Titaness of fresh-water, and the mother of the rivers, springs, streams, fountains, and clouds.
Greek	The Twelve Titans	Θεία (Theía)	Theia	Titaness of sight and the shining light of the clear blue sky. She is the consort of Hyperion, and mother of Helios, Selene, and Eos.
Greek	The Twelve Titans	Θέμις (Thémis)	Themis	Titaness of divine law and order.
Greek	The Twelve Titans	Ἀστερία (Astería)	Asteria	Titaness of nocturnal oracles and falling stars.
Greek	The Twelve Titans	Ἀστραῖος (Astraîos)	Astraeus	Titan of dusk, stars, and planets, and the art of astrology.
Greek	The Twelve Titans	Ἄτλας (Átlas)	Atlas	Titan forced to carry the heavens upon his shoulders by Zeus. Also Son of Iapetus.
Greek	The Twelve Titans	Αὔρα (Aúra)	Aura	Titaness of the breeze and the fresh, cool air of early morning.
Greek	The Twelve Titans	Κλυμένη (Clyménē)	Clymene	Titaness of renown, fame, and infamy, and wife of Iapetus.
Greek	The Twelve Titans	Διώνη (Diṓnē)	Dione	Titaness of the oracle of Dodona.
Greek	The Twelve Titans	Ἥλιος (Hḗlios)	Helios	Titan of the sun and guardian of oaths.
Greek	The Twelve Titans	Σελήνη (Selḗnē)	Selene	Titaness of the moon.
Greek	The Twelve Titans	Ἠώς (Ēṓs)	Eos	Titaness of the dawn.
Greek	The Twelve Titans	Ἐπιμηθεύς (Epimētheús)	Epimetheus	Titan of afterthought and the father of excuses.
Greek	The Twelve Titans	Εὐρυβία (Eurybía)	Eurybia	Titaness of the mastery of the seas and consort of Krios.
Greek	The Twelve Titans	Εὐρυνόμη (Eurynómē)	Eurynome	Titaness of water-meadows and pasturelands, and mother of the three Charites by Zeus.
Greek	The Twelve Titans	Λήλαντος (Lēlantos)	Lelantos	The Titan father of the nymph Aura
Greek	The Twelve Titans	Λητώ (Lētṓ)	Leto	Titaness of motherhood and mother of the twin Olympians, Artemis and Apollo.
Greek	The Twelve Titans	Μενοίτιος (Menoítios)	Menoetius	Titan of violent anger, rash action, and human mortality. Killed by Zeus.
Greek	The Twelve Titans	Μῆτις (Mē̂tis)	Metis	Titaness of good counsel, advice, planning, cunning, craftiness, and wisdom. Mother of Athena.
Greek	The Twelve Titans	Ὀφίων (Ophíōn)	Ophion	An elder Titan, in some versions of the myth he ruled the Earth with his consort Eurynome before Cronus overthrew him. Another account describes him as a snake, born from the "World Egg"
Greek	The Twelve Titans	Πάλλας (Pállas)	Pallas	Titan of warcraft. He was killed by Athena during the Titanomachy.
Greek	The Twelve Titans	Πέρσης (Pérsēs)	Perses	Titan of destruction.
Greek	The Twelve Titans	Προμηθεύς (Promētheús)	Prometheus	Titan of forethought and crafty counsel, and creator of mankind.
Greek	The Twelve Titans	Στύξ (Stýx)	Styx	Titaness of the Underworld river Styx and personification of hatred.
Greek	Ancient Greek name	Ἀχλύς (Akhlýs)	Achlys	The goddess of poisons, and the personification of misery and sadness. Said to have existed before Chaos itself.
Greek	Ancient Greek name	Αἰών (Aiôn)	Aion	The god of eternity, personifying cyclical and unbounded time. Sometimes equated with Chronos.
Greek	Ancient Greek name	Αἰθήρ (Aithḗr)	Aether	The god of light and the upper atmosphere.
Greek	Ancient Greek name	Ἀνάγκη (Anánkē)	Ananke	The goddess of inevitability, compulsion, and necessity.
Greek	Ancient Greek name	Χάος (Cháos)	Chaos	The personification of nothingness from which all of existence sprang. Depicted as a void. Initially genderless, later on described as female.
Greek	Ancient Greek name	Χρόνος (Chrónos)	Chronos	The god of empirical time, sometimes equated with Aion. Not to be confused with the Titan Cronus (Kronos), the father of Zeus.
Greek	Ancient Greek name	Ἔρεβος (Érebos)	Erebus	The god of darkness and shadow.
Greek	Ancient Greek name	Ἔρως (Eros)	Eros	The god of love and attraction.
Greek	Ancient Greek name	Ἡμέρα (Hēméra)	Hemera	The goddess of day.
Greek	Ancient Greek name	Ὕπνος (Hypnos)	Hypnos	The personification of sleep.
Greek	Ancient Greek name	Γαῖα (Gaîa)	Gaia (Gaea)	Personification of the Earth (Mother Earth); mother of the Titans.
Greek	Ancient Greek name	Νέμεσις (Némesis)	Nemesis	The goddess of retribution.
Greek	Ancient Greek name	Nῆσοι (Nē̂soi)	The Nesoi	The goddesses of the islands and sea.
Greek	Ancient Greek name	Νύξ (Nýx)	Nyx	The goddess of night.
Greek	Ancient Greek name	Οὐρανός (Ouranós)	Uranus	The god of the heavens (Father Sky); father of the Titans.
Greek	Ancient Greek name	Οὔρεα (Oúrea)	The Ourea	The gods of mountains.
Greek	Ancient Greek name	Φάνης (Phánēs)	Phanes	The god of procreation in the Orphic tradition.
Greek	Ancient Greek name	Πόντος (Póntos)	Pontus	The god of the sea, father of the fish and other sea creatures.
Greek	Ancient Greek name	Τάρταρος (Tártaros)	Tartarus	The god of the deepest, darkest part of the underworld, the Tartarean pit (which is also referred to as Tartarus itself).
Greek	Ancient Greek name	Θάλασσα (Thálassa)	Thalassa	Personification of the sea and consort of Pontus.
Greek	Ancient Greek name	Θάνατος (Thánatos)	Thanatos	God of Death. Brother to Hypnos (Sleep) and in some cases Moros (Doom)
